artikelnummer|ean|hersteller|titel|verkaufspreis|bild1|menge|einheit|typ|||desc
61400-HGN|4017721835152|Animonda Cat|Animonda Rafine Cross Adult Ente, Pute & Huhn 400g|1,41|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721835152.jpg|0,4|kg|dry|||
61402-HGN|4017721835398|Animonda Cat|Animonda Rafine Cross AdultEnte, Pute & Huhn 1,5kg|4,46|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721835398.jpg|1,5|kg|dry|||
61431-HGN|4017721835411|Animonda Cat|Animonda Rafine Adult Huhn, Lachs & Schrimps 1,5kg|4,46|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721835411.jpg|1,5|kg|dry|||
61542-HGN|4017721866354|Animonda Cat|Animonda Integra Sensitive Truthahn & Gerste 250g|1,69|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721866354.jpg|0,25|kg|dry|||
61410-HGN|4017721835220|Animonda Cat|Animonda Rafine Cross Adult Ente, Pute & Huhn 15kg|29|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721835220.jpg|15|kg|dry|||
61549-HGN|4017721866378|Animonda Cat|Animonda Integra Sensitive Truthahn & Gerste 1,75kg|6,47|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721866378.jpg|1,75|kg|dry|||
9100390-HGN|4260165181693|GranataPet|GranataPet Cat Geflügel Kitten 400g|3,45|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4260165181693.jpg|0,4|kg|dry|||
9100451-HGN|4260165183222|GranataPet|GranataPet Cat Geflügel Kitten 2kg|13,86|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4260165183222.jpg|2|kg|dry|||
9100383-HGN|4260165181532|GranataPet|GranataPet Cat Ente Adult 400g|3,52|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4260165181532.jpg|0,4|kg|dry|||
9100447-HGN|4260165183062|GranataPet|GranataPet Cat Ente Adult 2kg|14,08|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4260165183062.jpg|2|kg|dry|||
9100386-HGN|4260165181570|GranataPet|GranataPet Cat Fisch Adult 400g|3,52|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4260165181570.jpg|0,4|kg|dry|||
9100389-HGN|4260165181617|GranataPet|GranataPet Cat Geflügel Adult 400g|3,45|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4260165181617.jpg|0,4|kg|dry|||
6637714-HGN|7311030304307|Bozita Cat|Bozita Cat Diet & Stomach - Sensitive 10kg|37,9|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7311030304307.jpg|10|kg|dry|||
6637715-HGN|7311030305304|Bozita Cat|Bozita Cat Hair & Skin - Sensitive 10kg|37,9|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7311030305304.jpg|10|kg|dry|||
